Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date
Haan Ke Haan,"Sohail Sen, Monali Thakur, Kausar Munir",Maharaj,2R2iYcw81Fjfup0kUZtlf6,1WxzZoWBTmB68AtyA6ejBB,73,2024-06-24
Haan Ke Haan,"Sohail Sen, Monali Thakur, Kausar Munir",Maharaj,2R2iYcw81Fjfup0kUZtlf6,1WxzZoWBTmB68AtyA6ejBB,73,2024-06-24
Falak Tak,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan,59p4XN8mbKxNCoY5nQJyN5,0IudGhdeJZwJ0Ps6ndtQDt,66,2008-03-27
Falak Tak,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan,59p4XN8mbKxNCoY5nQJyN5,0IudGhdeJZwJ0Ps6ndtQDt,66,2008-03-27
Falak Tak,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan,59p4XN8mbKxNCoY5nQJyN5,0IudGhdeJZwJ0Ps6ndtQDt,66,2008-03-27
"Uska Hi Banana (From ""1920 Evil Returns"")",Arijit Singh,Arijit Singh Broken Strings,6jk3ucx33D7CLURgcfVFOT,3h6Xvd0lISog6GxTk4X6MK,61,2019-04-24
Dil Ibaadat,"Pritam, KK",Tum Mile (Original Motion Picture Soundtrack),3Ip9JCpT1IF9GvhAxzufTH,3Kl8p2PxVf8eAayLwTxOIm,69,2009-09-08
"Dil Se Dil Tak (From ""Bawaal"")","Akashdeep Sengupta, Laqshay Kapoor, Kausar Munir, Suvarna Tiwari","Dil Se Dil Tak (From ""Bawaal"")",1vaX8lnpErNywb6HwJBOsw,1kTEGyqUJFgstwdgJFLqz1,70,2023-07-14
Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack),3PxXJhlxSQkj8JO7IXy0FE,1fkjRQA8wXPPyxqYLbxuqy,66,2014-01-05
Bol Do Na Zara,Armaan Malik,Bollywood Romantic Songs With Armaan Malik,0TKg5tmAFIIC6iytdXXiM2,5XD2tP1DRH2NJgp45HiEQA,62,2017-07-20
